team_long_name,team_short_name,team_abbrv,team_id
los angeles angels,angels,LAA,108
arizona dbacks,dbacks,ARI,109
baltimore orioles,orioles,BAL,110
boston red sox,red sox,BOS,111
chicago cubs,cubs,CHC,112
cincinnati reds,reds,CIN,113
cleveland indians,indians,CLE,114
colorado rockies,rockies,COL,115
detroit tigers,tigers,DET,116
houston astros,astros,HOU,117
kansas city royals,royals,KC,118
los angeles dodgers,dodgers,LAD,119
washington nationals,nationals,WSH,120
new york mets,mets,NYM,121
oakland athletics,athletics,OAK,133
pittsburgh pirates,pirates,PIT,134
san diego padres,padres,SD,135
seattle mariners,mariners,SEA,136
san francisco giants,giants,SF,137
st louis cardinals,cardinals,STL,138
tampa bay rays,rays,TB,139
texas rangers,rangers,TEX,140
toronto blue jays,blue jays,TOR,141
minnesota twins,twins,MIN,142
philadelphia phillies,phillies,PHI,143
atlanta braves,braves,ATL,144
chicago white sox,white sox,CWS,145
miami marlins,marlins,MIA,146
new york yankees,yankees,NYY,147
milwaukee brewers,brewers,MIL,158
